algorithm_name,len_universe,len_X,len_F,len_G,exe_time(algo),exetime
algorithm 1_poly,2050,3,7616,7720,0.8261716365814209,0.874936580657959
algorithm 1_poly,3050,3,7618,7785,3.1339752674102783,3.233567714691162
algorithm 1_poly,4050,3,7675,7784,6.832682371139526,6.8822290897369385
algorithm 1_poly,5050,3,7884,7571,14.820496797561646,14.92312479019165
algorithm 1_poly,6050,3,7610,7763,26.331254243850708,26.378276586532593
algorithm 1_poly,7050,3,7690,7767,41.436914920806885,41.48524880409241
algorithm 1_poly,8050,3,7753,7624,54.69748067855835,54.74647545814514
algorithm 1_poly,9050,3,7737,7689,68.900071144104,69.0086498260498
algorithm 1_poly,50,3,8152,8375,0.06451606750488281,0.11706709861755371
algorithm 1_poly,1050,3,7739,7786,0.23720002174377441,0.3478982448577881
algorithm 1_poly,2050,3,7748,7677,0.8440208435058594,0.8935189247131348
