algorithm_name,len_universe,len_X,len_F,len_G,exe_time
algorithm 1_poly,100,5,1596024,1595182,56.63289666175842
algorithm 1_poly,100,5,2392631,2392127,124.88112139701843
algorithm 1_poly,100,5,3190942,3189915,124.7695095539093
algorithm 1_poly,100,5,3988177,3987664,154.75395703315735
algorithm 1_poly,100,5,4785748,4786110,205.75745797157288
algorithm 1_poly,100,5,5584343,5583855,257.5193119049072
algorithm 1_poly,100,5,6382039,6380377,666.4959704875946
algorithm 1_poly,100,5,7180590,7177515,633.5820589065552
algorithm 1_poly,100,5,7977748,7975561,1361.5379059314728
algorithm 1_poly,100,5,637196,637535,29.07546043395996
algorithm 1_poly,100,5,1275856,1275781,50.7112922668457
algorithm 1_poly,100,5,1913768,1914798,63.21911859512329
algorithm 1_poly,100,5,2552157,2552962,93.34397029876709
algorithm 1_poly,100,5,3189924,3191155,107.51770186424255
algorithm 1_poly,100,5,3827440,3830120,131.53479719161987
algorithm 1_poly,100,5,4465459,4468044,179.53265571594238
algorithm 1_poly,100,5,5103426,5106076,184.6364209651947
algorithm 1_poly,100,5,5740136,5744062,296.2968945503235
algorithm 1_poly,100,5,6376862,6383130,257.2129192352295
algorithm 1_poly,100,5,798154,796567,20.630351066589355
algorithm 1_poly,100,5,1595477,1594244,52.34802794456482
algorithm 1_poly,100,5,2393681,2392051,103.05337166786194
algorithm 1_poly,100,5,3190697,3189495,106.65628099441528
algorithm 1_poly,100,5,3988054,3987205,136.32456016540527
algorithm 1_poly,100,5,4785862,4784632,171.39525365829468
algorithm 1_poly,100,5,5584676,5581585,213.09207129478455
algorithm 1_poly,100,5,6382941,6379645,535.8205213546753
